cid,upc,oid,dt,r_dt,prc,qty,amt,r_qty,r_amt,web_prod_id,GMM_DESC,PARENT_MDSE_DIVN_DESC
10366487,888000000000,GM16910123547,11/28/2016,12/19/2016,15.94,1,15.94,1,15.94,"27,70,746",MENS & KIDS,TOTAL MENS
14686488,706000000000,1199756402,05/02/2016,05/06/2016,12.98,1,12.98,1,12.98,"27,75,895",READY TO WEAR,SPECIAL SIZES
14686488,706000000000,1199517148,05/02/2016,,12.98,1,12.98,,,"27,75,895",READY TO WEAR,SPECIAL SIZES
12838516,889000000000,1187637268,03/08/2016,,84.74,1,84.74,,,"27,77,459",CENTER CORE,HANDBAGS & ACCESSORIES
12838516,889000000000,1186787951,03/04/2016,3/18/2016,98.99,1,98.99,1,98.99,"27,77,459",CENTER CORE,HANDBAGS & ACCESSORIES
11694596,890000000000,PP16141280199,04/01/2016,,11.99,1,11.99,,,"26,55,902",READY TO WEAR,MILLENNIAL/DENIM
11694596,890000000000,1190441177,3/26/2016,04/01/2016,16.99,1,16.99,1,16.99,"26,55,902",READY TO WEAR,MILLENNIAL/DENIM
11693407,602000000000,1197220285,4/20/2016,,24,1,24,,,"26,61,081",READY TO WEAR,COLLECTIONS RTW
11693407,602000000000,1184745569,2/19/2016,03/04/2016,23.99,1,23.99,1,23.99,"26,61,081",READY TO WEAR,COLLECTIONS RTW
10226024,190000000000,1201500362,05/11/2016,5/28/2016,13.49,1,13.49,1,13.49,"26,32,174",READY TO WEAR,SPECIAL SIZES
10226024,190000000000,1201417790,05/10/2016,5/14/2016,24.99,1,24.99,1,24.99,"26,32,174",READY TO WEAR,SPECIAL SIZES
15616597,39373659287,1341986580,12/13/2016,12/30/2016,34.99,1,34.99,1,34.99,"28,92,453",READY TO WEAR,CASUAL RTW
15616597,39373659287,1341867225,12/13/2016,12/30/2016,34.99,1,34.99,1,34.99,"28,92,453",READY TO WEAR,CASUAL RTW
11396685,842000000000,GJ16121200623,12/30/2016,1/14/2017,39.99,1,39.99,1,39.99,"27,80,992",HOME,SOFT HOME
11371287,842000000000,1259207277,10/08/2016,,39.99,2,79.98,,,"27,80,992",HOME,SOFT HOME
11396685,842000000000,GJ16121292049,12/30/2016,,39.99,1,39.99,,,"27,80,992",HOME,SOFT HOME
11371287,842000000000,1255248445,11/11/2016,,39.99,1,39.99,,,"27,80,992",HOME,SOFT HOME
10908518,612000000000,1191030112,3/28/2016,5/19/2016,59,1,59,1,59,"26,81,008",READY TO WEAR,CLASSIFICATIONS
10908518,612000000000,AC16931230598,3/28/2016,,50.15,1,50.15,,,"26,81,008",READY TO WEAR,CLASSIFICATIONS
